"ID_CLIENTE","NOME_CLIENTE","STATUS_PEDIDO","ORDER_ID","TOTAL_PEDIDO","NOME_PRODUTO"
368,"Joan Miller","COMPLETE",383,78.32,"Boy's Coat (Brown)"
149,"Quinn Yerdon","COMPLETE",384,146.25,"Girl's Hoodie (White)"
234,"Angelo Carreon","COMPLETE",387,196.48,"Women's Trousers (Blue)"
375,"Sean Adams","COMPLETE",390,55.88,"Girl's Coat (Blue)"
186,"Laurice Goffredo","COMPLETE",396,74.68,"Women's Pyjamas (Grey)"
62,"Nus Biollix","COMPLETE",398,145.17,"Boy's Sweater (Red)"
340,"Lonnie Colby","COMPLETE",400,117.96,"Women's Skirt (Red)"
16,"Ralph Foster","COMPLETE",401,30.72,"Men's Hoodie (Red)"
392,"Adam Miller","COMPLETE",404,59.02,"Boy's Jeans (Blue)"
257,"Chong Carpinelli","COMPLETE",406,49.92,"Boy's Trousers (Black)"
228,"Van Seaforth","COMPLETE",410,65.45,"Women's Socks (Grey)"
63,"Eva Ogatius","COMPLETE",412,11,"Boy's Trousers (Blue)"
297,"Kristin Brooks","COMPLETE",417,37.92,"Boy's Hoodie (Grey)"
297,"Kristin Brooks","COMPLETE",417,66.56,"Boy's Trousers (Black)"
111,"Nestor Caparros","COMPLETE",418,33.28,"Boy's Trousers (Black)"
122,"Lenore Sullivan","COMPLETE",420,37.92,"Boy's Hoodie (Grey)"
33,"Carolyn Wood","COMPLETE",424,16.95,"Women's Jacket (Blue)"
196,"Tim Genco","COMPLETE",427,51.2,"Men's Hoodie (Red)"
392,"Adam Miller","COMPLETE",433,71.7,"Men's Coat (Red)"
145,"Andrew Schieferstein","COMPLETE",434,186.7,"Women's Pyjamas (Grey)"
311,"Lorita Koenig","COMPLETE",438,111,"Boy's Pyjamas (Grey)"
292,"Dale Hughes","COMPLETE",441,45.96,"Girl's Pyjamas (Red)"
216,"Ruth Robinson","COMPLETE",452,74.13,"Boy's Shirt (Black)"
291,"Opal Cruz","COMPLETE",455,74.13,"Boy's Shirt (Black)"
291,"Opal Cruz","COMPLETE",455,41.32,"Men's Pyjamas (Blue)"
42,"Adam Walker","COMPLETE",458,45.96,"Girl's Pyjamas (Red)"
302,"Tiffany Pena","COMPLETE",461,136.24,"Girl's Pyjamas (Black)"
357,"Shaquana Carney","COMPLETE",462,14.34,"Men's Coat (Red)"
271,"Dorsey Arking","COMPLETE",463,74.13,"Boy's Shirt (Black)"
239,"Luciano Lingenfelter","COMPLETE",469,39.78,"Men's Shorts (Black)"
182,"Nelson Golz","COMPLETE",472,37,"Boy's Pyjamas (Grey)"
389,"Justin Bailey","COMPLETE",478,117.96,"Women's Coat (Black)"
368,"Joan Miller","COMPLETE",479,31.68,"Men's Jeans (Grey)"
344,"Libby Krauss","COMPLETE",480,76.64,"Boy's Socks (Black)"
159,"Saul Mokry","COMPLETE",484,25.98,"Women's Dress (Black)"
159,"Saul Mokry","COMPLETE",484,40.96,"Men's Hoodie (Red)"
264,"Monroe Braylock","COMPLETE",491,40.44,"Boy's Jeans (Black)"
205,"Thaddeus Geneseo","COMPLETE",495,38.32,"Boy's Socks (Black)"
355,"Twila Hilliard","COMPLETE",502,138.2,"Girl's Trousers (Red)"
243,"Reyes Paczkowski","COMPLETE",503,19.16,"Boy's Socks (Black)"
107,"Shira Arocho","COMPLETE",504,195,"Girl's Hoodie (White)"
248,"Eldon Lannon","COMPLETE",505,40.96,"Men's Hoodie (Red)"
4,"Victor Morris","COMPLETE",506,97.84,"Women's Jacket (Black)"
137,"Norris Michener","COMPLETE",507,116.6,"Women's Jeans (Red)"
235,"Collene Guderjahn","COMPLETE",512,122.76,"Boy's Shorts (Blue)"
15,"Walter Rogers","COMPLETE",513,88.34,"Boy's Trousers (White)"
143,"Vincent Hibberd","COMPLETE",528,20.96,"Boy's Socks (White)"
362,"Barbara Allen","COMPLETE",534,78.32,"Girl's Trousers (Red)"
41,"Jeremy Howard","COMPLETE",540,48.75,"Girl's Hoodie (White)"
173,"Tabetha Florentino","COMPLETE",541,68.94,"Girl's Pyjamas (Red)"
72,"Raul Haelfeius","COMPLETE",547,52.4,"Boy's Socks (White)"
72,"Raul Haelfeius","COMPLETE",547,153.36,"Girl's Pyjamas (White)"
213,"Alvin Gagner","COMPLETE",563,153.36,"Girl's Pyjamas (White)"
30,"Lisa Hughes","COMPLETE",564,96.78,"Boy's Sweater (Red)"
391,"Edward Coleman","COMPLETE",567,157.28,"Women's Coat (Black)"
124,"Pete Chevis","COMPLETE",721,147.55,"Boy's Jeans (Blue)"
336,"Zulma Olds","COMPLETE",727,58.74,"Boy's Coat (Brown)"
309,"Gary Barton","COMPLETE",730,22.6,"Women's Jacket (Blue)"
355,"Twila Hilliard","COMPLETE",742,14.36,"Girl's Dress (Red)"
214,"Richard Howard","CANCELLED",748,52.28,"Women's Skirt (Brown)"
25,"Walter Turner","COMPLETE",750,43.02,"Men's Coat (Red)"
238,"Lloyd Shackley","COMPLETE",752,27.94,"Girl's Coat (Blue)"
179,"Verlie Bekerman","COMPLETE",756,91.92,"Girl's Pyjamas (Red)"
19,"Kathryn Rogers","COMPLETE",760,28.21,"Girl's Shorts (Green)"
55,"Michael Kim","COMPLETE",764,74,"Boy's Pyjamas (Grey)"
55,"Michael Kim","COMPLETE",764,39.91,"Boy's Coat (Blue)"
3,"Gary Jenkins","COMPLETE",766,31.44,"Boy's Socks (White)"
350,"Lorilee Bautista","COMPLETE",768,119.73,"Boy's Coat (Blue)"
297,"Kristin Brooks","COMPLETE",773,34.06,"Girl's Pyjamas (Black)"
76,"Daniella Almonte","COMPLETE",779,39.32,"Women's Coat (Black)"
40,"Ernest Foster","COMPLETE",782,159.64,"Boy's Coat (Blue)"
178,"Jacklyn Clippard","COMPLETE",790,78.64,"Women's Coat (Black)"
33,"Carolyn Wood","COMPLETE",795,39.89,"Women's Sweater (Brown)"
332,"Virgie Breeden","COMPLETE",799,46.64,"Women's Jeans (Red)"
63,"Eva Ogatius","COMPLETE",806,195,"Girl's Hoodie (White)"
49,"Kaija Crawford","COMPLETE",812,57.48,"Boy's Socks (Black)"
322,"Florencia Kohler","COMPLETE",815,55.88,"Girl's Coat (Blue)"
322,"Florencia Kohler","COMPLETE",815,19.6,"Girl's Jeans (Grey)"
85,"Chaya Greczkowski","COMPLETE",816,19.58,"Boy's Coat (Brown)"
120,"Coralee Acerno","COMPLETE",817,61.38,"Boy's Shorts (Blue)"
28,"Teresa Brown","COMPLETE",826,88.65,"Women's Shirt (Green)"
132,"Ambrose Hiday","COMPLETE",827,83.2,"Boy's Trousers (Black)"
206,"Casey Chestand","COMPLETE",831,195,"Girl's Hoodie (White)"
3,"Gary Jenkins","COMPLETE",832,84.64,"Women's Jeans (Brown)"
229,"Florance Bateman","COMPLETE",836,149.36,"Women's Pyjamas (Grey)"
51,"Michael Harris","COMPLETE",848,45.96,"Girl's Pyjamas (Red)"
34,"Patricia Robinson","COMPLETE",849,14.36,"Girl's Dress (Red)"
289,"Diane Wilkerson","COMPLETE",851,52.36,"Women's Socks (Grey)"
119,"Reinaldo Feltner","COMPLETE",854,59.02,"Boy's Jeans (Blue)"
364,"Harold Griffin","COMPLETE",865,63.36,"Men's Jeans (Grey)"
324,"Kendrick Caraballo","COMPLETE",866,44,"Boy's Trousers (Blue)"
97,"Inez Yamnitz","COMPLETE",870,88.65,"Women's Shirt (Green)"
121,"Katherine Tagg","COMPLETE",883,11.3,"Women's Jacket (Blue)"
54,"Kellan Ye","COMPLETE",886,55.88,"Girl's Coat (Blue)"
61,"Pedro Aenlo","COMPLETE",891,85.77,"Women's Skirt (Green)"
258,"Adan Lamica","COMPLETE",904,29.55,"Women's Shirt (Green)"
122,"Lenore Sullivan","COMPLETE",905,117.96,"Women's Skirt (Red)"
370,"Russell Rivera","COMPLETE",906,55.88,"Girl's Coat (Blue)"
382,"Stephanie Jones","COMPLETE",907,142.95,"Women's Skirt (Green)"
103,"Sam Rueb","COMPLETE",910,149.36,"Women's Pyjamas (Grey)"
103,"Sam Rueb","COMPLETE",910,98.84,"Boy's Shirt (Black)"
321,"Maia Leggett","COMPLETE",916,10.11,"Boy's Jeans (Black)"
45,"Fred Fontain","COMPLETE",917,55.28,"Girl's Trousers (Red)"
346,"Hassie Grogan","COMPLETE",922,17.32,"Women's Dress (Black)"
118,"Cori Ablin","COMPLETE",923,117.48,"Girl's Trousers (Red)"
118,"Cori Ablin","COMPLETE",923,28.72,"Girl's Dress (Red)"
359,"Dorathy Hutchings","COMPLETE",926,196.48,"Women's Trousers (Blue)"
9,"Norma Robinson","COMPLETE",928,33.34,"Boy's Sweater (Green)"
190,"Tim Blasingim","COMPLETE",930,78.32,"Girl's Trousers (Red)"
334,"Cheree Kemp","COMPLETE",932,58.98,"Women's Skirt (Red)"
334,"Cheree Kemp","COMPLETE",932,38.34,"Girl's Pyjamas (White)"
161,"Dexter Petiet","COMPLETE",940,41.92,"Boy's Socks (White)"
214,"Richard Howard","COMPLETE",942,111,"Boy's Pyjamas (Grey)"
236,"Trenton Stoermer","COMPLETE",946,61.38,"Boy's Shorts (Blue)"
207,"Pete Carvallo","COMPLETE",952,29.51,"Boy's Jeans (Blue)"
358,"Gita Dobbs","COMPLETE",953,39.32,"Women's Coat (Black)"
118,"Cori Ablin","COMPLETE",954,52.28,"Women's Skirt (Brown)"
266,"Love Whistlehunt","COMPLETE",959,34.64,"Women's Dress (Black)"
11,"Judy Evans","COMPLETE",960,97.5,"Girl's Hoodie (White)"
130,"Boyd Rearden","COMPLETE",965,39.89,"Women's Sweater (Brown)"
244,"Freddie Kirkhart","COMPLETE",966,69.85,"Girl's Coat (Blue)"
9,"Norma Robinson","COMPLETE",968,74.68,"Women's Pyjamas (Grey)"
95,"Monty Kinnamon","COMPLETE",969,39.27,"Women's Socks (Grey)"
25,"Walter Turner","COMPLETE",970,118.2,"Women's Shirt (Green)"
6,"Evelyn Torres","COMPLETE",972,119.73,"Boy's Coat (Blue)"
6,"Evelyn Torres","COMPLETE",972,41.32,"Men's Pyjamas (Blue)"
121,"Katherine Tagg","COMPLETE",973,22,"Boy's Trousers (Blue)"
391,"Edward Coleman","COMPLETE",975,63.48,"Women's Jeans (Brown)"
188,"Emmett Golz","COMPLETE",977,241.95,"Boy's Sweater (Red)"
188,"Emmett Golz","COMPLETE",977,19.6,"Girl's Jeans (Grey)"
207,"Pete Carvallo","COMPLETE",980,20.48,"Men's Hoodie (Red)"
